id,date,lon,lat,depth,type,level,loc,incident,city,province
2146,2019-09-04 21:33:17,122.44,24.01,7,ML,3.3,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2147,2019-09-03 08:47:30,121.62,23.7,7,Ms,4.3,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2148,2019-09-02 01:19:44,95.82,29.06,7,ML,3.2,西藏墨脱,天然地震,林芝市,西藏自治区
2149,2019-09-02 00:23:45,104.18,35.9,13,ML,3.4,甘肃榆中,天然地震,兰州市,甘肃省
2150,2019-09-01 09:04:50,98.85,28.5,8,ML,3.0,云南德钦,天然地震,迪庆藏族自治州,云南省
2151,2019-09-01 07:46:02,122.11,24.69,9,Ms,4.2,台湾宜兰海域,天然地震,中华人民共和国,中华人民共和国
2152,2019-08-31 17:15:19,83.0,41.9,7,ML,3.2,新疆库车,天然地震,阿克苏地区,新疆维吾尔自治区
2153,2019-08-31 15:50:19,121.58,23.09,7,Ms,4.3,台湾台东海域,天然地震,中华人民共和国,中华人民共和国
2154,2019-08-31 14:40:37,89.17,42.39,20,ML,3.9,新疆吐鲁番,天然地震,吐鲁番市,新疆维吾尔自治区
2155,2019-08-31 13:46:24,88.66,35.37,6,Ms,3.8,西藏双湖,天然地震,那曲市,西藏自治区
2156,2019-08-31 10:09:56,83.14,40.87,13,ML,3.7,新疆沙雅,天然地震,阿克苏地区,新疆维吾尔自治区
2157,2019-08-31 06:24:54,101.95,23.34,13,Ms,3.8,云南红河,天然地震,红河哈尼族彝族自治州,云南省
2158,2019-08-30 20:11:36,82.99,41.9,7,ML,3.3,新疆库车,天然地震,阿克苏地区,新疆维吾尔自治区
2159,2019-08-29 15:30:35,100.09,25.91,15,ML,3.3,云南大理,天然地震,大理白族自治州,云南省
2160,2019-08-27 17:57:52,86.62,29.01,7,ML,3.2,西藏定日,天然地震,日喀则市,西藏自治区
2161,2019-08-25 13:56:40,99.49,25.09,15,ML,3.1,云南保山,天然地震,保山市,云南省
2162,2019-08-22 01:20:15,101.82,37.24,8,ML,3.3,青海门源,天然地震,海北藏族自治州,青海省
2163,2019-08-20 19:25:37,74.8,38.85,10,ML,3.1,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2164,2019-08-20 19:17:01,109.4,18.52,12,Ms,4.0,海南三亚,天然地震,三亚市,海南省
2165,2019-08-20 10:48:17,109.42,18.5,13,ML,3.0,海南三亚,天然地震,三亚市,海南省
2166,2019-08-20 09:08:50,94.85,30.35,6,ML,3.5,西藏波密,天然地震,林芝市,西藏自治区
2167,2019-08-18 20:41:19,104.78,28.44,6,ML,3.3,四川长宁,天然地震,宜宾市,四川省
2168,2019-08-18 12:05:14,121.58,23.77,10,Ms,5.0,台湾花莲,天然地震,台湾省,台湾省
2169,2019-08-18 04:48:02,118.54,23.4,11,Ms,4.4,台湾海峡,天然地震,中华人民共和国,中华人民共和国
2170,2019-08-17 22:52:06,121.56,23.73,7,Ms,4.1,台湾花莲海域,天然地震,台湾省,台湾省
2171,2019-08-17 03:58:01,77.1,39.61,20,ML,3.3,新疆伽师,天然地震,喀什地区,新疆维吾尔自治区
2172,2019-08-16 05:41:38,120.86,23.53,18,Ms,4.0,台湾南投,天然地震,台湾省,台湾省
2173,2019-08-15 20:40:36,85.01,31.93,7,ML,3.9,西藏改则,天然地震,阿里地区,西藏自治区
2174,2019-08-15 07:47:02,94.84,30.36,6,Ms,4.0,西藏波密,天然地震,林芝市,西藏自治区
2175,2019-08-14 16:13:51,94.83,30.37,8,Ms,4.0,西藏波密,天然地震,林芝市,西藏自治区
2176,2019-08-13 06:31:53,104.87,28.37,10,Ms,4.3,四川长宁,天然地震,宜宾市,四川省
2177,2019-08-13 06:09:44,90.23,38.51,8,Ms,4.3,新疆若羌,天然地震,巴音郭楞蒙古自治州,新疆维吾尔自治区
2178,2019-08-13 06:09:43,90.22,38.49,7,ML,4.0,青海茫崖,天然地震,海西蒙古族藏族自治州,青海省
